tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,streaming,tech_support,support_calls,num_services,churn
44,634.91,27634.34,one-year,upi,dsl,True,False,3,2,0
2,661.58,1128.05,one-year,upi,dsl,True,False,3,3,0
25,539.79,13914.12,month-to-month,credit_card,dsl,False,False,1,0,1
31,929.03,28994.92,month-to-month,debit_card,wireless,True,False,4,5,1
71,1015.51,72092.37,month-to-month,credit_card,fiber,False,False,1,2,1
15,852.39,12348.53,one-year,net_banking,fiber,False,True,1,0,1
20,736.76,14469.86,month-to-month,upi,dsl,False,False,1,3,0
29,833.96,24476.38,month-to-month,debit_card,wireless,False,False,0,3,0
72,774.46,54786.01,month-to-month,debit_card,dsl,True,False,2,3,0
62,913.73,55481.16,two-year,upi,wireless,False,False,0,4,0
2,729.78,1806.24,month-to-month,net_banking,wireless,False,True,3,2,0
17,1024.27,17145.93,month-to-month,net_banking,fiber,True,False,2,4,0
59,797.94,47313.02,month-to-month,upi,wireless,True,False,0,2,0
4,743.32,3761.62,one-year,net_banking,dsl,False,False,4,3,1
62,937.78,57636.01,month-to-month,upi,fiber,False,True,0,0,0
20,720.2,13569.29,two-year,net_banking,dsl,True,True,0,3,0
66,890.1,58608.52,month-to-month,wallet,fiber,False,True,0,1,0
21,816.28,16799.38,month-to-month,upi,dsl,False,False,1,4,1
31,832.54,25795.99,month-to-month,credit_card,dsl,False,False,2,4,0
48,826.66,39948.51,month-to-month,credit_card,dsl,False,False,1,5,0
9,871.14,8003.6,month-to-month,upi,dsl,True,False,5,5,1
40,841.38,33678.44,one-year,debit_card,fiber,False,True,0,0,0
36,783.36,28730.11,month-to-month,credit_card,fiber,False,True,1,0,0
57,914.51,52462.39,one-year,upi,dsl,False,False,3,5,0
72,354.84,25457.48,month-to-month,upi,none,False,False,1,2,0
48,620.09,30082.11,month-to-month,upi,wireless,False,False,1,0,0
29,632.56,17571.34,month-to-month,credit_card,dsl,False,False,3,1,0
29,1163.63,34277.21,month-to-month,debit_card,fiber,True,True,1,5,0
30,877.41,26333.32,month-to-month,debit_card,fiber,False,False,0,2,0
59,786.68,45813.96,two-year,upi,fiber,False,True,0,0,0
23,1058.72,24142.29,two-year,upi,fiber,True,False,2,4,0
12,768.71,9743.33,one-year,credit_card,fiber,False,False,2,1,0
24,644.67,15088.15,two-year,upi,dsl,False,False,1,2,0
1,509.95,715.25,month-to-month,credit_card,dsl,False,True,3,0,0
7,1076.04,7971.65,month-to-month,debit_card,fiber,False,True,1,3,0
6,893.03,5370.43,month-to-month,credit_card,fiber,False,False,7,2,0
56,979.43,54415.58,two-year,debit_card,wireless,True,False,1,5,0
52,706.4,36701.09,month-to-month,wallet,dsl,False,False,2,2,0
50,546.27,26608.69,month-to-month,upi,dsl,False,True,0,1,0
33,526.81,17140.44,one-year,wallet,dsl,False,True,0,0,1
52,654.89,33500.45,month-to-month,upi,dsl,False,False,1,1,0
11,556.88,6102.22,one-year,upi,dsl,False,True,0,2,0
65,813.63,52251.47,month-to-month,credit_card,fiber,False,True,0,0,0
36,1008.14,36334.91,one-year,upi,fiber,False,False,3,2,1
68,1157.46,79274.01,two-year,debit_card,fiber,True,False,4,5,0
11,1169.34,13460.55,one-year,wallet,fiber,False,False,3,4,0
36,756.71,26618.88,month-to-month,credit_card,dsl,False,True,0,3,0
50,1263.47,62840.34,month-to-month,credit_card,fiber,False,False,3,5,1
36,829.12,30274.82,month-to-month,net_banking,dsl,True,False,2,4,0
32,917.63,29716.08,month-to-month,debit_card,wireless,False,False,1,3,0
12,890.0,10372.4,month-to-month,upi,dsl,True,False,1,5,0
27,731.61,19510.24,month-to-month,wallet,fiber,False,True,0,0,1
17,868.45,14804.78,month-to-month,upi,wireless,False,False,0,4,1
22,925.92,19453.55,month-to-month,upi,fiber,False,True,0,1,0
49,1149.93,56609.45,two-year,upi,fiber,True,False,2,4,0
46,1159.47,53877.15,month-to-month,upi,fiber,True,True,1,5,1
44,740.22,32374.91,month-to-month,upi,dsl,False,True,0,2,0
26,782.3,19630.23,month-to-month,upi,fiber,False,False,2,0,1
70,773.1,54823.23,month-to-month,credit_card,wireless,False,False,3,2,0
6,371.71,2340.0,two-year,credit_card,none,False,False,3,2,1
25,1108.48,28066.39,month-to-month,net_banking,fiber,True,False,0,5,1
8,869.48,6295.24,one-year,upi,dsl,True,False,3,5,0
24,944.02,21997.65,one-year,upi,wireless,False,False,1,3,0
70,1128.89,79229.13,one-year,credit_card,fiber,True,False,2,5,0
26,681.26,18226.49,one-year,upi,dsl,False,True,1,2,0
66,592.28,38525.92,one-year,debit_card,dsl,True,False,0,2,0
36,828.37,29770.26,month-to-month,credit_card,dsl,False,False,1,5,0
51,1029.29,51699.95,month-to-month,credit_card,fiber,False,False,1,4,0
33,772.05,25126.99,one-year,upi,dsl,False,False,3,3,0
19,606.43,11393.67,month-to-month,credit_card,dsl,False,True,1,2,1
55,863.37,47730.01,month-to-month,credit_card,dsl,False,False,3,4,1
70,873.43,60087.49,month-to-month,wallet,wireless,True,False,2,4,0
19,656.4,13131.8,month-to-month,upi,dsl,False,False,2,2,0
56,520.57,29066.59,month-to-month,credit_card,dsl,False,True,1,0,0
19,719.16,14311.16,month-to-month,credit_card,fiber,False,True,0,0,1
52,510.18,26878.84,month-to-month,upi,dsl,False,False,1,0,1
57,367.49,21373.36,month-to-month,credit_card,none,True,False,0,2,1
32,882.0,29234.18,month-to-month,credit_card,wireless,False,False,2,3,1
53,1052.02,55366.51,one-year,upi,fiber,False,False,2,4,0
19,834.15,15916.55,month-to-month,debit_card,fiber,False,True,1,1,0
5,1132.98,5169.53,one-year,debit_card,fiber,False,False,3,4,1
7,795.62,5518.23,month-to-month,credit_card,dsl,False,False,3,3,0
32,470.37,15412.04,month-to-month,upi,dsl,False,True,1,0,0
65,588.24,38799.26,one-year,debit_card,dsl,False,True,0,2,0
9,559.16,4841.34,one-year,upi,dsl,False,False,0,1,1
33,1124.33,36500.62,one-year,credit_card,fiber,True,False,4,5,1
51,894.89,45675.99,one-year,credit_card,dsl,True,False,2,5,0
14,746.01,10018.03,one-year,debit_card,dsl,False,False,2,4,0
52,1073.65,55540.61,one-year,debit_card,fiber,False,False,0,3,0
22,960.63,21469.74,one-year,upi,fiber,False,False,1,2,0
59,625.2,37129.91,one-year,upi,dsl,False,True,0,1,0
42,678.83,28928.15,month-to-month,credit_card,dsl,False,False,3,4,1
39,412.09,15903.0,month-to-month,upi,dsl,False,False,2,0,0
12,639.63,8180.09,month-to-month,credit_card,dsl,False,True,0,1,1
33,564.02,18619.96,month-to-month,credit_card,wireless,False,False,0,0,0
62,676.68,41812.14,one-year,wallet,wireless,False,False,1,2,0
1,864.87,315.46,month-to-month,upi,fiber,False,False,5,1,1
55,887.12,47746.48,month-to-month,debit_card,fiber,False,False,2,1,1
35,942.1,32191.51,one-year,upi,fiber,False,True,1,2,1
52,1198.4,62424.57,month-to-month,net_banking,fiber,True,False,1,5,1
48,741.63,35144.24,one-year,credit_card,dsl,False,False,1,3,0
31,814.01,24411.6,month-to-month,credit_card,dsl,False,True,0,4,0
22,1242.42,27123.52,month-to-month,credit_card,fiber,False,False,0,5,0
45,1174.29,52982.98,month-to-month,upi,fiber,True,False,0,5,1
10,647.82,6685.74,month-to-month,credit_card,dsl,False,False,5,2,1
42,915.14,38421.47,month-to-month,wallet,dsl,True,False,2,5,1
6,902.63,5385.37,month-to-month,upi,dsl,True,False,2,5,0
47,829.86,38734.08,month-to-month,net_banking,dsl,True,False,2,5,1
45,945.39,42859.7,month-to-month,wallet,fiber,False,True,3,2,0
6,896.91,5293.06,one-year,net_banking,fiber,False,False,3,1,1
55,995.66,54723.06,month-to-month,wallet,fiber,True,False,1,3,1
30,848.04,25960.16,month-to-month,upi,dsl,True,False,3,5,0
57,805.43,46305.29,month-to-month,credit_card,dsl,True,True,0,5,0
3,680.86,1950.15,two-year,upi,wireless,False,False,3,3,1
13,781.3,9993.32,one-year,credit_card,fiber,False,False,1,0,0
36,656.36,23461.7,two-year,upi,dsl,False,False,2,2,0
13,745.23,8677.35,two-year,wallet,dsl,True,False,0,4,0
24,893.89,22001.89,month-to-month,upi,wireless,True,False,2,3,0
48,697.66,33145.52,one-year,upi,wireless,True,True,0,2,0
10,795.63,8383.57,month-to-month,upi,wireless,True,True,0,2,0
49,820.93,40246.54,two-year,credit_card,fiber,False,True,0,0,0
7,983.82,7582.55,month-to-month,upi,fiber,False,True,0,1,1
12,1126.99,13788.65,month-to-month,upi,fiber,True,False,2,4,0
42,502.69,21568.88,two-year,upi,dsl,False,True,1,1,0
57,1227.72,69683.91,one-year,upi,fiber,True,True,2,5,0
12,884.88,9975.84,two-year,net_banking,fiber,False,True,0,0,0
21,636.39,13437.94,month-to-month,debit_card,dsl,True,False,1,3,0
67,781.96,51432.49,month-to-month,upi,wireless,False,False,1,2,1
72,1143.02,82063.16,month-to-month,upi,fiber,False,False,4,4,1
42,864.36,35708.34,month-to-month,upi,dsl,False,False,0,5,1
32,603.9,18905.04,month-to-month,debit_card,dsl,True,False,1,3,0
25,810.2,20552.9,month-to-month,upi,wireless,False,False,0,3,1
44,870.95,38586.63,one-year,upi,wireless,True,False,1,4,0
43,1101.49,47283.04,month-to-month,upi,fiber,True,False,0,3,1
21,270.57,5841.98,one-year,upi,none,False,False,5,1,0
1,729.38,459.04,two-year,credit_card,wireless,False,True,1,2,0
11,645.67,8315.75,one-year,upi,wireless,False,False,0,1,1
69,766.29,53024.25,month-to-month,credit_card,wireless,False,False,1,2,1
30,1027.84,30540.14,month-to-month,credit_card,fiber,False,True,1,3,1
35,635.5,22680.28,month-to-month,wallet,wireless,False,False,3,1,1
34,888.2,30818.93,one-year,upi,fiber,False,False,2,1,0
57,1072.14,60724.71,month-to-month,credit_card,fiber,True,False,2,4,0
4,520.39,1372.27,month-to-month,wallet,dsl,True,False,5,2,1
6,908.4,4840.18,two-year,net_banking,fiber,False,False,2,1,0
20,528.66,10238.21,one-year,wallet,none,True,False,1,4,0
35,809.99,28322.41,one-year,upi,dsl,True,False,4,4,0
48,477.88,22123.51,month-to-month,net_banking,none,False,False,2,4,0
35,1096.4,38164.77,two-year,wallet,fiber,True,True,1,4,0
32,915.96,29206.88,month-to-month,upi,dsl,True,False,2,5,0
68,693.41,47314.27,month-to-month,upi,dsl,True,False,1,3,1
11,717.98,8203.7,two-year,net_banking,wireless,False,False,0,1,0
41,1101.26,45352.33,two-year,upi,fiber,True,False,0,5,0
39,583.41,23649.0,month-to-month,credit_card,dsl,False,True,1,1,0
34,876.29,30340.85,month-to-month,debit_card,fiber,False,False,3,1,0
58,850.13,49418.77,month-to-month,credit_card,dsl,False,False,2,4,0
19,1129.05,20966.77,one-year,upi,fiber,True,False,1,5,0
69,709.51,48618.41,one-year,credit_card,wireless,False,False,0,2,0
24,1030.28,24012.27,month-to-month,debit_card,fiber,True,False,1,4,1
39,946.66,36996.54,month-to-month,net_banking,wireless,True,False,1,5,1
38,1112.77,42450.98,one-year,upi,fiber,True,False,0,4,1
62,150.0,9746.46,one-year,upi,none,False,True,1,0,0
32,702.85,22625.0,month-to-month,upi,dsl,False,True,0,3,0
20,605.54,12637.78,month-to-month,upi,dsl,False,True,0,1,0
1,869.86,1407.11,two-year,net_banking,dsl,True,False,5,5,1
26,803.76,20383.72,month-to-month,upi,fiber,False,True,0,0,0
60,1099.7,65722.67,month-to-month,upi,fiber,True,False,2,5,0
0,870.0,0.0,one-year,wallet,fiber,False,False,5,1,0
65,651.43,41990.19,month-to-month,upi,dsl,False,True,0,2,0
39,566.81,21984.06,two-year,upi,dsl,False,True,1,1,0
10,1107.64,11227.03,one-year,credit_card,fiber,True,False,2,4,0
22,334.54,7298.42,month-to-month,debit_card,none,False,False,2,2,0
40,777.2,31088.08,month-to-month,wallet,dsl,True,False,2,4,1
23,448.01,9832.94,one-year,credit_card,dsl,False,False,3,0,0
7,698.72,5144.28,month-to-month,upi,dsl,False,False,2,2,0
48,1113.67,53672.65,month-to-month,credit_card,fiber,True,False,2,5,0
49,882.9,42880.72,month-to-month,wallet,dsl,True,False,1,5,0
8,665.66,4678.67,month-to-month,debit_card,dsl,False,True,2,1,0
20,1005.07,20716.56,two-year,credit_card,fiber,False,True,0,2,1
17,675.47,12357.05,one-year,debit_card,dsl,False,False,1,2,0
48,1037.49,49916.74,one-year,debit_card,fiber,False,False,0,3,0
53,718.61,37905.56,month-to-month,credit_card,dsl,False,True,1,3,1
53,554.93,29934.56,month-to-month,upi,wireless,False,True,0,0,0
68,1087.31,74172.15,two-year,debit_card,fiber,True,False,1,4,0
56,603.74,33704.3,month-to-month,upi,dsl,False,True,1,1,1
23,594.49,14157.21,one-year,credit_card,dsl,False,False,1,1,0
7,1214.44,8096.24,month-to-month,credit_card,fiber,False,False,4,5,0
44,960.98,41937.88,month-to-month,upi,wireless,False,False,2,4,1
66,642.08,42558.91,month-to-month,upi,dsl,False,True,2,2,0
71,884.59,62863.19,month-to-month,net_banking,dsl,False,False,2,5,1
16,555.05,9199.38,month-to-month,upi,dsl,False,False,2,2,1
17,1137.81,19939.43,month-to-month,upi,fiber,True,False,0,3,1
2,654.31,532.39,month-to-month,upi,wireless,False,False,2,1,0
10,907.58,9095.32,month-to-month,credit_card,fiber,False,True,2,1,1
40,629.27,26121.49,two-year,upi,dsl,False,False,1,2,0
39,803.11,31023.12,month-to-month,wallet,wireless,True,False,0,3,0
27,1088.15,29022.67,one-year,credit_card,fiber,True,False,0,4,0
22,587.74,11809.88,month-to-month,upi,dsl,False,False,1,2,0
60,750.99,45110.24,month-to-month,credit_card,dsl,True,False,1,5,0
33,1082.98,36028.79,month-to-month,upi,fiber,True,False,2,3,0
59,627.29,37299.1,two-year,upi,wireless,False,False,3,0,0
70,1054.21,73275.98,one-year,credit_card,fiber,True,True,1,4,0
23,1047.6,24090.34,two-year,upi,fiber,True,False,1,3,0
14,791.2,11187.53,month-to-month,wallet,wireless,False,False,0,2,1
69,615.35,42485.13,one-year,credit_card,dsl,True,False,1,2,0
46,595.59,26849.85,one-year,upi,dsl,False,False,2,1,0
21,775.34,16320.8,two-year,net_banking,dsl,False,False,2,3,0
45,753.08,33481.42,month-to-month,debit_card,wireless,False,True,0,3,1
37,976.67,35200.86,two-year,upi,fiber,False,True,0,2,0
66,593.22,39493.13,month-to-month,debit_card,dsl,False,True,2,1,1
18,744.02,13462.42,one-year,net_banking,dsl,False,True,0,2,0
72,977.85,70701.27,month-to-month,debit_card,fiber,False,True,1,2,0
68,929.46,62935.78,month-to-month,debit_card,fiber,False,False,1,2,0
13,860.24,11496.4,month-to-month,debit_card,fiber,False,True,0,1,0
12,826.17,10425.1,one-year,upi,dsl,True,False,0,3,0
38,657.26,25852.78,month-to-month,upi,wireless,False,True,0,1,1
3,854.31,2969.85,month-to-month,credit_card,wireless,False,True,2,3,1
21,788.08,16742.1,month-to-month,wallet,fiber,False,False,0,0,0
31,1004.06,30436.01,one-year,credit_card,fiber,True,False,1,2,0
70,956.53,66904.08,month-to-month,upi,wireless,True,False,1,4,1
72,898.87,64007.07,one-year,debit_card,wireless,True,False,4,4,0
11,1079.66,11466.84,month-to-month,upi,fiber,True,False,0,4,1
65,1078.47,71078.05,one-year,upi,fiber,False,False,1,4,0
6,713.64,3770.31,one-year,credit_card,fiber,False,True,0,0,0
54,755.03,39600.21,one-year,upi,wireless,False,True,0,2,0
61,1029.02,63176.79,one-year,wallet,fiber,True,False,3,3,1
65,759.19,49011.04,month-to-month,debit_card,dsl,True,False,2,4,1
16,633.26,10516.15,month-to-month,credit_card,dsl,False,False,0,3,0
65,985.31,63460.36,one-year,wallet,wireless,True,False,2,5,0
8,691.63,5320.09,month-to-month,credit_card,wireless,False,True,0,1,0
37,219.73,8728.03,month-to-month,wallet,none,False,True,0,0,0
34,750.5,24856.09,one-year,wallet,fiber,False,False,2,0,0
23,844.84,19346.66,month-to-month,credit_card,wireless,True,False,1,3,0
1,816.07,961.72,month-to-month,upi,wireless,False,False,4,3,0
56,618.22,34260.95,two-year,upi,dsl,False,False,0,1,0
24,751.26,18151.2,month-to-month,wallet,dsl,False,False,2,4,0
48,557.51,26768.31,month-to-month,upi,none,True,True,2,4,0
29,725.5,21306.75,month-to-month,net_banking,dsl,False,True,1,2,0
27,880.8,24702.8,month-to-month,upi,fiber,False,True,0,1,0
64,1120.18,73029.36,one-year,credit_card,fiber,False,True,0,4,0
6,1139.19,7066.83,one-year,upi,fiber,True,False,3,4,1
53,523.71,27701.69,month-to-month,net_banking,dsl,False,True,0,1,0
54,850.69,46157.54,month-to-month,upi,fiber,False,False,1,1,1
27,659.21,17682.58,month-to-month,debit_card,dsl,False,False,3,2,0
19,926.34,16806.86,month-to-month,wallet,wireless,False,False,0,3,0
0,440.19,0.0,one-year,upi,dsl,False,False,3,0,1
68,1256.89,86009.32,one-year,upi,fiber,True,False,1,5,0
69,740.34,50351.0,month-to-month,wallet,wireless,True,True,0,2,0
17,648.28,10528.43,one-year,wallet,dsl,False,True,0,2,0
2,560.9,830.83,one-year,upi,dsl,False,False,4,0,1
8,1076.07,8794.75,month-to-month,credit_card,wireless,False,False,2,5,0
4,596.14,3573.07,one-year,upi,dsl,False,False,2,1,0
60,933.24,55589.58,one-year,upi,dsl,True,False,0,5,0
65,903.98,58804.61,month-to-month,credit_card,fiber,False,False,0,2,0
11,948.53,10436.68,month-to-month,upi,wireless,True,False,3,5,0
54,807.38,43447.77,one-year,debit_card,fiber,False,False,5,1,0
13,774.22,10041.02,two-year,upi,fiber,False,False,3,0,1
26,528.26,13502.44,month-to-month,wallet,none,True,False,1,4,0
43,1110.61,49127.6,month-to-month,credit_card,fiber,False,False,1,4,0
52,1111.36,58165.3,one-year,upi,fiber,False,False,1,3,0
63,902.74,56644.27,month-to-month,net_banking,fiber,False,True,1,0,1
3,868.17,3196.32,month-to-month,wallet,dsl,True,False,3,5,1
14,616.02,8752.57,month-to-month,upi,dsl,False,False,1,2,0
20,1233.0,24689.01,two-year,net_banking,fiber,True,False,0,5,0
22,938.21,20549.64,one-year,upi,dsl,True,False,2,5,0
72,1197.06,86063.48,two-year,upi,fiber,True,False,0,5,0
56,835.28,46165.59,month-to-month,debit_card,dsl,False,False,0,4,0
23,1127.46,25094.69,month-to-month,upi,fiber,True,False,2,4,1
70,675.56,47474.72,month-to-month,credit_card,dsl,True,False,0,3,0
